ID;Standort-Nr;Baumhoehe_akt_m;Stammanzahl_akt_anz;Stammdurchmesser_akt_cm;Stammumfang_akt_cm;Kronendurchmesser_akt_cm;Pflanzjahr;Standalter_geschaetzt_jahr;ref_Baumart;ref_Baumart_botanisch;gis_komplex_UTM;ref_Objekt_Name;ref_Objekt_stat_Bezirk;ref_Objekt_Number;ref_Objekt_Name_Number
00008100:000dce02;18;14,6;;;;6,76;;;Unbekannt;Unbekannt;POINT (404720.3241 5755126.6112);VG GUT INSEL;32;53233;20 53233 VG GUT INSEL
00008100:000dce0c;17;10,86;;;;3,37;;;Unbekannt;Unbekannt;POINT (404714.621 5755125.8778);VG GUT INSEL;32;53233;20 53233 VG GUT INSEL
00008100:000dce17;200;1;1;0;1;1;2021;2;;Standort ohne Baum;POINT (404727.8251 5755931.546);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dce2d;2;7,67;;;;3,41;;;Unbekannt;Unbekannt;POINT (404645.6122 5755395.079);�G GR�NER HANG (NATURDENKMAL EICHE);32;13203;20 13203 �G GR�NER HANG (NATURDENKMAL EICHE)
00008100:000dce61;29;8,9;1;45;141,37;3,36;1992;31;Spitz-Ahorn;Acer platanoides*;POINT (404778.7587 5755138.953);VG GUT INSEL;32;53233;20 53233 VG GUT INSEL
00008100:000dce6e;28;11,83;;;;3,55;;;Unbekannt;Unbekannt;POINT (404806.6952 5755238.9491);VG INSELBOGEN;32;53220;20 53220 VG INSELBOGEN
00008100:000dce7b;10;10,78;;38,2;120;5,62;1992;31;Feld-Ahorn;Acer campestre*;POINT (404739.6288 5755213.6483);VG FUSSWEG AN DER KITA INSELBOGEN;32;53240;20 53240 VG FUSSWEG AN DER KITA INSELBOGEN
00008100:000dc4e9;18;12,69;1;20;62,83;5;2002;21;Vogel-Kirsche;Prunus avium ;POINT(404596.9267519614659249782562255859375 5754719.52256344072520732879638671875);VG RADWEG SAARBR�CKER STR. - OBERSCHLESIER STR.;32;53247;20 53247 VG RADWEG SAARBR�CKER STR. - OBERSCHLESIER STR.
00008100:000dc4ef;20;11,84;1;40;125,66;10;1982;41;Vogel-Kirsche;Prunus avium ;POINT(404615.639096464146859943866729736328125 5754721.40868322551250457763671875);VG RADWEG SAARBR�CKER STR. - OBERSCHLESIER STR.;32;53247;20 53247 VG RADWEG SAARBR�CKER STR. - OBERSCHLESIER STR.
00008100:000dd08b;164;22,13;;;;7,79;;;Unbekannt;Unbekannt;POINT (404903.6327 5756061.6093);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dd093;171;5,75;;;;4,24;;;Unbekannt;Unbekannt;POINT (404919.0536 5756077.2069);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dd09d;170;21;1;46;143;8;1962;61;Hainbuche;Carpinus betulus*;POINT (404857.0758 5756092.665);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dd0b7;173;25,71;;;;10,63;;;Unbekannt;Unbekannt;POINT (404929.6317 5756091.7655);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dd0db;43;7;1;23;72;5;1982;41;Spitz-Ahorn;Acer platanoides*;POINT (405000.1945 5756091.922);VG PRINZ-EUGEN-STRASSE;32;53216;20 53216 VG PRINZ-EUGEN-STRASSE
00008100:000dd0e0;48;12;1;46;145;9;1962;61;Hainbuche;Carpinus betulus*;POINT (404990.1079 5756139.244);VG PRINZ-EUGEN-STRASSE;32;53216;20 53216 VG PRINZ-EUGEN-STRASSE
00008100:000dd1bd;5;8,56;;;;4,42;;;Unbekannt;Unbekannt;POINT (404894.3173 5756095.6805);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dce85;107;5;1;65;205;8;1942;81;Japanische Bl��ten-Kirsche;Prunus serrulata 'Kanzan' ;POINT (404771.7987 5755638.112);VG SENTMARINGER WEG;32;53238;20 53238 VG SENTMARINGER WEG
00008100:000dce87;109;6;1;72;227;8;1932;91;Japanische Bl��ten-Kirsche;Prunus serrulata 'Kanzan' ;POINT (404795.7382 5755636.775);VG SENTMARINGER WEG;32;53238;20 53238 VG SENTMARINGER WEG
00008100:000dce9e;10;9,02;;41,38;130;4,96;1992;31;Berg-Ahorn;Acer pseudoplatanus*;POINT (404521.2343 5755313.0038);VG INSELBOGEN;32;53220;20 53220 VG INSELBOGEN
00008100:000dcea8;30;17,47;;70,03;220;7,06;1942;81;Stiel-Eiche;Quercus robur*;POINT (404568.0096 5755270.5458);VG INSELBOGEN;32;53220;20 53220 VG INSELBOGEN
00008100:000dceab;47;10,09;;35,01;110;2,8;1992;31;Berg-Ahorn;Acer pseudoplatanus*;POINT (404532.6786 5755293.3251);VG INSELBOGEN;32;53220;20 53220 VG INSELBOGEN
00008100:000dceba;6;17,24;1;50;157,08;12;1977;46;Winter-Linde;Tilia cordata*;POINT (404543.0067 5755237.4706);VG OBERSCHLESIER STRASSE;32;53224;20 53224 VG OBERSCHLESIER STRASSE
00008100:000dcec5;4;16,8;1;65;204,2;8,48;1982;41;Feld-Ahorn;Acer campestre*;POINT (404732.3221 5755077.7665);�G STADTPARK GUT INSEL;32;13206;20 13206 �G STADTPARK GUT INSEL
