ID;Standort-Nr;Baumhoehe_akt_m;Stammanzahl_akt_anz;Stammdurchmesser_akt_cm;Stammumfang_akt_cm;Kronendurchmesser_akt_cm;Pflanzjahr;Standalter_geschaetzt_jahr;ref_Baumart;ref_Baumart_botanisch;gis_komplex_UTM;ref_Objekt_Name;ref_Objekt_stat_Bezirk;ref_Objekt_Number;ref_Objekt_Name_Number
00008100:000e034e;71;15,32;;;;6,97;;;Unbekannt;Unbekannt;POINT (405227.2636 5754926.3143);20-�. SPOA. BORRUSSIA 07,  GREVINGSTRASSE 32;32;93210;50 93210 20-�. SPOA. BORRUSSIA 07, GREVINGSTRASSE 32
00008100:000e0352;82;10,74;;50,93;160;5,88;1952;71;Esche;Fraxinus spec.;POINT (405115.6815 5754838.5468);VG ELS�SSER STRASSE;32;53228;20 53228 VG ELS�SSER STRASSE
00008100:000e037c;19;13,55;;;;4,49;;;Unbekannt;Unbekannt;POINT (405290.702 5754977.3397);20-�. SPOA. BORRUSSIA 07,  GREVINGSTRASSE 32;32;93210;50 93210 20-�. SPOA. BORRUSSIA 07, GREVINGSTRASSE 32
00008100:000e03b5;6;9;1;21;65,97;4;1997;26;Hainbuche;Carpinus betulus*;POINT (405181.4413 5754879.338);VG SAARBR�CKER STRASSE;32;53227;20 53227 VG SAARBR�CKER STRASSE
00008100:000e0587;30;19,94;1;69,39;218;11,94;1952;71;Stiel-Eiche;Quercus robur*;POINT (405434.9257 5754928.2479);VG RADWEG SAARBR�CKER STRASSE - HAMMER STRASSE;32;53246;20 53246 VG RADWEG SAARBR�CKER STRASSE - HAMMER STRASSE
00008100:000e062d;3;15,37;;;;4,04;;;Unbekannt;Unbekannt;POINT (405385.9403 5754892.4745);VG RADWEG SAARBR�CKER STRASSE - HAMMER STRASSE;32;53246;20 53246 VG RADWEG SAARBR�CKER STRASSE - HAMMER STRASSE
00008100:000e0773;39;9,37;;;;4,72;;;Unbekannt;Unbekannt;POINT (405147.7977 5755032.787);VG ELS�SSER STRASSE;32;53228;20 53228 VG ELS�SSER STRASSE
00008100:000e0790;3;9,58;1;17;53,41;2,65;2002;21;Ulme;Ulmus spec.;POINT (405041.452 5755111.3251);VG KOLMARSTRASSE;32;53226;20 53226 VG KOLMARSTRASSE
00008100:000e0796;5;21,97;1;80;251,33;14;1942;81;Winter-Linde;Tilia cordata*;POINT (405044.5106 5755126.9618);VG KOLMARSTRASSE;32;53226;20 53226 VG KOLMARSTRASSE
00008100:000e07a9;54;8,21;;35,01;110;2,45;1957;66;Schmalbl�ttrige Esche;Fraxinus angustifolia*;POINT (405161.0507 5755101.3016);VG ELS�SSER STRASSE;32;53228;20 53228 VG ELS�SSER STRASSE
00008100:000e07bc;35;11,76;;;;5,51;;;Unbekannt;Unbekannt;POINT (405311.1845 5755005.6434);20-�. SPOA. BORRUSSIA 07,  GREVINGSTRASSE 32;32;93210;50 93210 20-�. SPOA. BORRUSSIA 07, GREVINGSTRASSE 32
